Date,THP (Psi),THP (Psi),THP (Psi),THP (Psi),THP (Psi),FLP (Psi),FLP (Psi),FLP (Psi),FLP (Psi),FLP (Psi),FLP (Psi),FLP (Psi),FLP (Psi),FLP (Psi),Gas (Nm3),Gas (Nm3),Gas (Nm3),Gas (Nm3),Gas (Nm3),Gas (Nm3),Gas (Nm3),Gas (Nm3),Gas (Nm3),Water (bbl),Water (bbl),Water (bbl),Cons_Fuel
4,35,35,0/64,45,35,35,23,0,25,14,14,14,35,25,3412,387,0,3401,0/64,0/64,0/64,531,2452,0.1,0,0,630
13,40,30,0/64,35,35,40,18,0,20,14,14,14,25,25,3605,498,0,3114,0/64,0/64,0/64,515,2178,0.1,0,0,630
26,35,30,14,35,30,35,19,0,18,14,14,14,25,18,3241,341,0,3629,14,14,14,451,2328,0.1,0,0,630
4,43,25,0/64,35,35,43,15,0,14,16,16,16,25,25,3911,324,0,2701,0/64,0/64,0/64,433,2196,0.1,0,0,630
13,40,30,0/64,40,45,40,20,0,18,14,14,14,30,35,3945,249,0,3634,0/64,0/64,0/64,390,2073,0.1,0,0,630
26,35,30,14,40,30,35,20,0,17,14,14,14,30,18,3498,245,0,4001,14,14,14,218,2118,0.1,0,0,840
4,43,30,0/64,40,30,43,20,0,20,14,14,14,30,20,3626,241,0,3555,0/64,0/64,0/64,205,2112,0.1,0,0,630
13,30,30,0/64,40,30,30,20,0,18,14,14,14,30,18,3004,145,0,3828,0/64,0/64,0/64,250,2365,0.1,0,0,840
26,40,30,14,40,45,40,22,0,20,14,14,14,30,35,3493,365,0,3332,14,14,14,252,2279,0.1,0,0,840
4,38,25,0/64,30,45,38,15,0,15,14,14,14,20,35,3193,238,0,2744,0/64,0/64,0/64,183,1840,0.1,0,0,840
13,38,25,0/64,35,30,38,15,0,15,14,14,14,25,20,4061,368,0,3025,0/64,0/64,0/64,286,2231,0.1,0,0,840
26,35,25,14,40,25,35,20,0,15,14,14,14,30,15,3024,312,0,3001,14,14,14,328,2054,0.1,0,0,840
4,32,30,0/64,40,30,32,23,0,18,14,14,14,30,18,2842,188,0,2803,0/64,0/64,0/64,203,1640,0.1,0,0,840
13,45,30,0/64,40,30,45,20,0,18,15,15,15,30,18,3881,172,0,3060,0/64,0/64,0/64,215,1685,0.1,0,0,630
26,30,25,14,35,30,30,15,0,13,14,14,14,25,20,3174,165,0,3377,14,14,14,182,1596,0.1,0,0,840
4,24,25,0/64,40,25,24,18,0,16,12,12,12,30,16,3449,178,0,3082,0/64,0/64,0/64,231,2480,0.1,0,0,630
13,18,25,0/64,40,25,18,15,0,14,12,12,12,28,14,3472,334,0,2653,0/64,0/64,0/64,807,1858,0.1,0,0,630
26,15,25,14,40,25,15,17,0,15,14,14,14,30,14,3527,238,0,2983,14,14,14,499,2058,0.1,0,0,780
